88L1-JYAAAAJ	Xiaorui Wang	Power Management, Data Centers, Real-Time Embedded Systems, Computer Architecture, Computer Systems	N/A	N
eFjZ6jAAAAAJ	Jing Li	parallel computing, real-time systems, cyber-physical systems	N/A	N
W362rUwAAAAJ	Kunal Agrawal	Parallel Computing, Algorithms	CS	Y
8GA4R2wAAAAJ	Douglas Schmidt	Pattern-oriented middleware, Java/Android concurrency, Industrial Internet of Things, distributed real-time and embedded systems	N/A	N
tCq7Wx0AAAAJ	Chenyang Lu	Real-Time Systems, Wireless Sensor Networks, Wireless Health, Internet of Things, Cyber-Physical Systems	CS	Y
DOdE7bsAAAAJ	Dolvara Gunatilaka	N/A	N/A	N
KQmFXsoAAAAJ	Eric (You) Xu	artificial intelligence, automated planning, nonlinear optimization, sensor network	N/A	N
enpgnuQAAAAJ	Qingfeng Huang	mobile computing, sensor networks, distributed computing, ad hoc networks, physics	N/A	N
VMFWEMcAAAAJ	Thomas C. Bailey	N/A	N/A	N
YOZbkCEAAAAJ	Gang Tao	adaptive control, multivariable control, nonlinear control, robotics, real-time systems	N/A	N
hVZiQDQAAAAJ	Mo Sha	Wireless Networks, Internet of Things, Embedded and Real-Time Systems, and Cyber-Physical Systems	N/A	N
NHZdlVkAAAAJ	Xenofon Koutsoukos	N/A	N/A	N
hc1m_BQAAAAJ	Tian He	Cyber Physical Systems, IOT, Wireless Sensor Networks, Real-time Systems	N/A	N
pHox8i0AAAAJ	Sang H Son	N/A	N/A	N
uBbYp8gAAAAJ	Octav Chipara	Wireless Sensor Networks, Embedded Systems, Wireless Health, Cyber-physical systems	N/A	N
NByrsK0AAAAJ	Yixin Chen	N/A	CS	Y
DhckaXkAAAAJ	xiaohua xu	Neuroscience	N/A	N
3L2Ih0wAAAAJ	Joseph O. Deasy, PhD	medical physics, statistical modeling, machine learning, cancer biology, radiobiology	N/A	N
f0DADzYAAAAJ	Ruibin Xi	N/A	N/A	N
2F-jTfEAAAAJ	Yi Pan	Big Data, Cloud Computing, Bioinformatics, Wireless Networks	N/A	N
kR7DersAAAAJ	Minmin Chen	Machine Learning	N/A	N
vuKTnnsAAAAJ	Weixiong Zhang	computational biology, artificial intelligence	CS	Y
d6maXN8AAAAJ	Ramanjulu Sunkar	Abiotic Stress, MicroRNAs, Plant Molecular Biology	N/A	N
Kv9AbjMAAAAJ	Jiawei Han	data mining, database systems, data warehousing, information networks	N/A	N
mL6QKeQAAAAJ	Guozhu Dong	data mining, machine learning, database, bioinformatics, data science	N/A	N
rYsw7D4AAAAJ	Ruoyun Huang	Artificial Intelligence	N/A	N
WL8igVEAAAAJ	Benjamin W. Wah	Artificial intelligence, multimedia	N/A	N
cA28Zs0AAAAJ	Tarek Abdelzaher	Real-time Systems, wireless sensor networks, cyber-physical systems, embedded systems, social sensing	N/A	N
4VJre9IAAAAJ	John Stankovic	wireless sensor networks, cyber physical systems, real-time systems	N/A	N
c8W5RkcAAAAJ	liu ke	High Performance and Energy Efficient Deep Neural Network Hardware Design	N/A	N
Pwd7hJYAAAAJ	Elizabeth Farrell Helbling	Robotics, MAV, Controls	N/A	N
q9lNC6QAAAAJ	Yazhou Zu	Computer Architecture, Power/Energy Efficient Microprocessor, Specialized Processor Architectures	N/A	N
gy4UVGcAAAAJ	Vijay Janapa Reddi	Computer Architecture	N/A	N
L1y8y2MAAAAJ	Jingwen Leng	Computer Architecture	N/A	N
9EWtXi0AAAAJ	An Zou	Computer Architecture, Embedded Systems, Robotics	N/A	N
j1uE6L0AAAAJ	Andre Harrison	computer vision, signal processing	N/A	N
yJLnv4QAAAAJ	Guihai Yan	Efficient & Resilient Computer Architecture	N/A	N
FTYtHb4AAAAJ	Robert J Wood	Robotics	N/A	N
cO2uYoAAAAAJ	Brandon Reagen	Computer Architecture, ML, VLSI	N/A	N
lf9ZK78AAAAJ	Rajeev Kumar Dokania	Analog Circuit Design, UWB Impulse Radio, Optical Interconnet, High Speed Serial IO, ESD Design	N/A	N
MbyxwN0AAAAJ	Ishita Mukhopadhyay	mixed signal design, analog design, I/O	N/A	N
