Id1	Id2	Count
E1jnOcUAAAAJ	NHZdlVkAAAAJ	1
EYsanUcAAAAJ	JQsX7rAAAAAJ	1
g_JVzmIAAAAJ	VIwGymEAAAAJ	43
NByrsK0AAAAJ	4xHzvxkAAAAJ	1
2nmHOtoAAAAJ	nKVDcQoAAAAJ	1
2OJOZTUAAAAJ	qXb4xQMAAAAJ	1
kJ_03NMAAAAJ	rYsw7D4AAAAJ	1
nM77MX0AAAAJ	HgaNy9kAAAAJ	1
PfgeYGwAAAAJ	HRSDO6IAAAAJ	1
PfgeYGwAAAAJ	tpoh43QAAAAJ	3
C4m8TSUAAAAJ	J12C3nYAAAAJ	1
MYFF5l4AAAAJ	rQ8F7rIAAAAJ	9
yQXfAWMAAAAJ	NByrsK0AAAAJ	1
g_JVzmIAAAAJ	M9RDPB0AAAAJ	1
tCq7Wx0AAAAJ	x8UnxSoAAAAJ	1
b9Bod2MAAAAJ	h8NURnIAAAAJ	4
WV7XovQAAAAJ	G7pJdK4AAAAJ	1
WwadVmIAAAAJ	SRUYLREAAAAJ	15
p_QR9RUAAAAJ	XqI4gAYAAAAJ	15
cilyP7wAAAAJ	aPxDp7wAAAAJ	2
dHXCX-sAAAAJ	BAdQpFkAAAAJ	9
ftAplLUAAAAJ	TP-Jxn4AAAAJ	1
HhKyc4EAAAAJ	p0tQZiAAAAAJ	1
NHZdlVkAAAAJ	W362rUwAAAAJ	1
cA28Zs0AAAAJ	uBbYp8gAAAAJ	3
3ro8yF4AAAAJ	XfYRqF4AAAAJ	1
CYwffSUAAAAJ	W362rUwAAAAJ	6
vm1u2DEAAAAJ	BECu7wYAAAAJ	1
qC7oNRUAAAAJ	qk0hejcAAAAJ	12
n-Oret4AAAAJ	_4i-G3YAAAAJ	1
YOZbkCEAAAAJ	cA28Zs0AAAAJ	7
nKVDcQoAAAAJ	qPlUgrgAAAAJ	1
GbLB9aAAAAAJ	tyYtUNIAAAAJ	1
VVpfyhsAAAAJ	EYsanUcAAAAJ	1
jDKM_4AAAAAJ	8Qu_gAMAAAAJ	1
hc1m_BQAAAAJ	pHox8i0AAAAJ	21
mIZu9oQAAAAJ	4VJre9IAAAAJ	1
E1jnOcUAAAAJ	tCq7Wx0AAAAJ	1
8Qu_gAMAAAAJ	iJakSYUAAAAJ	1
Nq_T4UwAAAAJ	YJVAXCwAAAAJ	1
54w2_AcAAAAJ	G7D5O-0AAAAJ	1
NHZdlVkAAAAJ	ptI-HHkAAAAJ	26
BAdQpFkAAAAJ	8Qu_gAMAAAAJ	1
6yoY1d8AAAAJ	1dxAw1cAAAAJ	3
5Tw9egMAAAAJ	zTedPdwAAAAJ	1
rQ8F7rIAAAAJ	z17wdcsAAAAJ	22
WxJIpkcAAAAJ	PRCbG2kAAAAJ	1
XLU7AuYAAAAJ	GN3C9q4AAAAJ	1
mtB5szIAAAAJ	Qf4bw4UAAAAJ	1
l9UHHYgAAAAJ	oz_MXbIAAAAJ	28
UK-VpDoAAAAJ	qq-SXN8AAAAJ	1
2nmHOtoAAAAJ	Qhe5ua0AAAAJ	1
c8LH7zUAAAAJ	XeYCNAwAAAAJ	4
yvvjnhIAAAAJ	07ds-DAAAAAJ	1
tCq7Wx0AAAAJ	T1P0XnIAAAAJ	1
No-GJRQAAAAJ	BECu7wYAAAAJ	1
GhpkHDAAAAAJ	tdfS7TwAAAAJ	2
snf71h4AAAAJ	iNANm-sAAAAJ	4
BzzEEc0AAAAJ	Ay_j7dUAAAAJ	1
33CH6WUAAAAJ	qPlUgrgAAAAJ	1
fAw_t5EAAAAJ	G7D5O-0AAAAJ	6
Qf4bw4UAAAAJ	qrVndScAAAAJ	1
qVKYugIAAAAJ	MeSHpCsAAAAJ	1
pHox8i0AAAAJ	hmq4rGIAAAAJ	1
8a2Z1loAAAAJ	iJakSYUAAAAJ	1
54w2_AcAAAAJ	gUEkPQEAAAAJ	3
PMjIXFIAAAAJ	pT7rjkQAAAAJ	3
xPoCswkAAAAJ	JsK4KpMAAAAJ	5
fAxws1sAAAAJ	JsK4KpMAAAAJ	5
cb5JccEAAAAJ	iBgmo3sAAAAJ	3
4VJre9IAAAAJ	5c38WVcAAAAJ	1
_X-PrRkAAAAJ	0HhpXIwAAAAJ	2
Z03FLwkAAAAJ	c8LH7zUAAAAJ	2
3HjjRz8AAAAJ	ggKzpqIAAAAJ	4
oRlrVsAAAAAJ	ZnvGMSIAAAAJ	3
c7reUlAAAAAJ	q4FqPgYAAAAJ	11
g9yhtN8AAAAJ	DSiNzkIAAAAJ	21
cA28Zs0AAAAJ	JQsX7rAAAAAJ	3
G7D5O-0AAAAJ	ZRrTqs8AAAAJ	1
8GA4R2wAAAAJ	G7D5O-0AAAAJ	44
rr944LsAAAAJ	YhFEmpMAAAAJ	15
8_Yj_RwAAAAJ	vm1u2DEAAAAJ	2
yvvjnhIAAAAJ	6k7bp8IAAAAJ	1
DqCFHY8AAAAJ	8Qu_gAMAAAAJ	1
55pOyCkAAAAJ	VjETp_wAAAAJ	2
3qYUSDwAAAAJ	1dxAw1cAAAAJ	2
hc1m_BQAAAAJ	UcpEexUAAAAJ	1
VVpfyhsAAAAJ	RJCmtBcAAAAJ	1
CWj6pVcAAAAJ	4bHLr_IAAAAJ	3
tyYtUNIAAAAJ	DrUwvK0AAAAJ	1
-goooIUAAAAJ	1o_wrqsAAAAJ	2
qYbgZYgAAAAJ	wSPgTVwAAAAJ	1
jDKM_4AAAAAJ	QY-earAAAAAJ	1
jDKM_4AAAAAJ	xITAf6EAAAAJ	1
NByrsK0AAAAJ	Kv9AbjMAAAAJ	6
HdLFmroAAAAJ	-0LFOnYAAAAJ	3
oz_MXbIAAAAJ	h9Tji70AAAAJ	1
_5tjpG0AAAAJ	fAw_t5EAAAAJ	1
qrHidmsAAAAJ	AsMU1QsAAAAJ	125
FDu4ciwAAAAJ	DSiNzkIAAAAJ	1
nKVDcQoAAAAJ	dgobB6AAAAAJ	1
HgaNy9kAAAAJ	pHox8i0AAAAJ	1
2F-jTfEAAAAJ	FtbGhBQAAAAJ	1
4bHLr_IAAAAJ	h9Tji70AAAAJ	2
kSuuj6UAAAAJ	rcGnOdYAAAAJ	1
8_Yj_RwAAAAJ	BECu7wYAAAAJ	1
tCq7Wx0AAAAJ	_4i-G3YAAAAJ	5
UnDfo6sAAAAJ	Z_jPrx8AAAAJ	1
MO3BwFMAAAAJ	8_Yj_RwAAAAJ	1
kSuuj6UAAAAJ	upREfesAAAAJ	17
JQsX7rAAAAAJ	GUAoEcAAAAAJ	2
ggKzpqIAAAAJ	yC-70wMAAAAJ	2
ftAplLUAAAAJ	PRCbG2kAAAAJ	1
oSFVC3MAAAAJ	yC-70wMAAAAJ	1
x8UnxSoAAAAJ	JQsX7rAAAAAJ	2
rQ8F7rIAAAAJ	jR3NLMsAAAAJ	17
jDKM_4AAAAAJ	dgobB6AAAAAJ	1
JSFmVQEAAAAJ	HgaNy9kAAAAJ	3
tCq7Wx0AAAAJ	Da-s1FQAAAAJ	1
cA28Zs0AAAAJ	E1jnOcUAAAAJ	2
CPqBDqUAAAAJ	33CH6WUAAAAJ	1
L-pC28sAAAAJ	sr1HGtUAAAAJ	1
jDKM_4AAAAAJ	KgZxzjsAAAAJ	1
83an8lYAAAAJ	FtbGhBQAAAAJ	1
GlBl-VUAAAAJ	4bHLr_IAAAAJ	35
bWOQjSIAAAAJ	T1j6LZAAAAAJ	12
6gWs-scAAAAJ	iSq5G8cAAAAJ	1
5ZpsRswAAAAJ	olCWoa8AAAAJ	2
No-GJRQAAAAJ	Ay_j7dUAAAAJ	6
QLsTu80AAAAJ	L8yAc8sAAAAJ	4
zZO9qG4AAAAJ	2E448xEAAAAJ	10
gdD2E9QAAAAJ	XM97iScAAAAJ	8
d9f_YvcAAAAJ	G7D5O-0AAAAJ	6
g9yhtN8AAAAJ	53HX4X8AAAAJ	5
LWAFHkEAAAAJ	nfeNsaoAAAAJ	68
gWBoNCsAAAAJ	rE1Y8DoAAAAJ	1
pWQGJWEAAAAJ	M6QwrLAAAAAJ	11
NSCF6GUAAAAJ	6gWs-scAAAAJ	3
HRSDO6IAAAAJ	DWKoeW0AAAAJ	1
9s9o-JcAAAAJ	Qf4bw4UAAAAJ	2
